date,classification,num_trades,total_volume_usd,avg_pnl,median_pnl,win_rate
2024-01-03,Greed,5,42199.619999999995,6.4337040000000005,9.25908,0.6
2024-01-04,Greed,2,5501.48,0.0,0.0,0.0
2024-01-05,Greed,2,8291.19,0.0,0.0,0.0
2024-01-08,Greed,1,30000.35,0.0,0.0,0.0
2024-01-09,Greed,1,1500.1,0.0,0.0,0.0
2024-01-12,Greed,2,604.6,0.0,0.0,0.0
2024-02-01,Greed,2,3351.85,17.5561625,17.5561625,0.5
2024-02-03,Greed,1,10.57,0.5312,0.5312,1.0
2024-02-04,Greed,3,12387.35,0.0,0.0,0.0
2024-02-06,Greed,1,199.94,0.0,0.0,0.0
2024-02-08,Greed,2,33845.8,0.0,0.0,0.0
2024-02-12,Greed,45,83025.15,4.846422044444444,0.0,0.044444444444444446
2024-03-01,Greed,4,7061.28,2.9491375,0.0,0.25
2024-03-02,Greed,1,32222.82,0.0,0.0,0.0
2024-03-03,Greed,2,50318.24,14.36,14.36,0.5
2024-03-06,Greed,3,484.51,2.418234,0.0,0.3333333333333333
2024-03-07,Greed,3,20240.96,129.24842266666667,0.0,0.3333333333333333
2024-03-12,Greed,128,515644.47,147.55732465625,37.12684,0.7109375
2024-04-03,Greed,15,136370.36000000002,88.32577193333333,18.687,0.7333333333333333
2024-04-04,Greed,3,8283.89,0.0,0.0,0.0
2024-04-08,Greed,3,7724.03,-377.65623933333336,-485.073718,0.0
2024-04-11,Greed,3,11237.199999999999,14.639178666666666,0.0,0.3333333333333333
2024-04-12,Greed,3,424.29,101.15210366666666,15.964428,0.6666666666666666
2024-05-01,Neutral,2,663.0600000000001,0.0,0.0,0.0
2024-05-02,Fear,2,1957.47,7.2746405,7.2746405,1.0
2024-05-03,Neutral,11,24960.34,33.33480109090909,28.545372,0.9090909090909091
2024-05-04,Greed,3,1582.98,5.831120000000001,2.94,1.0
2024-05-07,Greed,1,197.76,0.0,0.0,0.0
2024-05-08,Greed,4,39842.62,-640.44071,0.0,0.0
2024-05-10,Greed,1,2679.27,0.0,0.0,0.0
2024-05-12,Greed,4,15430.76,3315.7453475,118.321175,0.5
2024-06-01,Greed,3,55660.19,-39.32282,0.0,0.3333333333333333
2024-06-02,Greed,27,238200.36000000002,1.5421951481481482,0.0,0.2222222222222222
2024-06-03,Greed,5,3158.3,14.324948000000001,10.78,1.0
2024-06-05,Greed,1,100136.78,725.22282,725.22282,1.0
2024-06-06,Greed,4,2194.52,2.0064467500000003,1.447686,0.5
2024-06-07,Greed,3,146.37,0.0,0.0,0.0
2024-06-08,Greed,3,615.63,0.0,0.0,0.0
2024-06-09,Greed,1,4477.0,0.0,0.0,0.0
2024-06-12,Greed,14,42002.729999999996,-23.57158107142857,0.0,0.2857142857142857
2024-07-01,Neutral,2,1422.98,-0.2353505,-0.2353505,0.0
2024-07-04,Fear,1,1525.9,0.0,0.0,0.0
2024-07-05,Fear,1,47.59,0.0,0.0,0.0
2024-07-06,Fear,1,94.73,0.0,0.0,0.0
2024-07-10,Fear,1,29999.63,0.0,0.0,0.0
2024-07-12,Fear,5,89131.27,228.32362780000003,27.930375,0.6
2024-08-01,Neutral,4,99583.31,0.0,0.0,0.0
2024-08-03,Fear,3,3396.98,58.94252,47.30516,1.0
2024-08-04,Fear,1,17851.5,0.0,0.0,0.0
2024-08-05,Fear,1,1499.72,0.0,0.0,0.0
2024-08-12,Fear,6,21604.61,2.3549806666666666,0.0,0.16666666666666666
2024-09-01,Fear,3,8267.01,-0.613919,0.0,0.0
2024-09-03,Fear,2,448.53,6.110585,6.110585,1.0
2024-09-05,Fear,1,602.9,5.088,5.088,1.0
2024-09-06,Fear,1,70.47,0.0,0.0,0.0
2024-09-08,Fear,2,227.15,0.0,0.0,0.0
2024-09-11,Fear,1,71.59,-0.00141,-0.00141,0.0
2024-09-12,Fear,23,26471.16,0.33719726086956525,0.0,0.13043478260869565
2024-10-01,Neutral,8,116339.26,13.79012125,0.0,0.375
2024-10-04,Fear,1,12499.7,195.916968,195.916968,1.0
2024-10-05,Neutral,2,33500.119999999995,423.461908,423.461908,0.5
2024-10-06,Neutral,1,554.85,0.0,0.0,0.0
2024-10-07,Neutral,2,23114.74,216.261463,216.261463,1.0
2024-10-08,Neutral,2,209.32999999999998,0.0,0.0,0.0
2024-10-10,Fear,1,21105.41,0.0,0.0,0.0
2024-10-12,Neutral,21,13636.52,25.959585380952383,3.375,0.9047619047619048
2024-11-02,Greed,1,43496.79,0.0,0.0,0.0
2024-11-03,Greed,4,3386.04,41.25994325,2.3057865,1.0
2024-11-04,Greed,1,1165.71,0.0,0.0,0.0
2024-11-05,Greed,1,199.91,0.799596,0.799596,1.0
2024-11-06,Greed,1,39.6,0.0,0.0,0.0
2024-11-07,Greed,3,30809.64,5.661090000000001,0.0,0.3333333333333333
2024-11-11,Greed,11,67447.73000000001,0.0,0.0,0.0
2024-11-12,Greed,13,30544.63,1965.2956773076924,26.419034,0.6923076923076923
2024-12-04,Greed,5,30810.67,124.87674280000002,15.199604,0.6
2024-12-05,Greed,1,5878.8,0.0,0.0,0.0
2024-12-06,Greed,3,152.32999999999998,0.0,0.0,0.0
2024-12-07,Greed,1,11207.93,0.0,0.0,0.0
2024-12-11,Greed,4,27055.61,0.0,0.0,0.0
2024-12-12,Greed,64,121185.36,20.0992009375,0.0,0.21875
2025-01-02,Greed,12,29178.64,11.825684333333333,0.0,0.4166666666666667
